LATITUDE,LONGITUDE,FIRE_SIZE
30.9878,-92.7639,3.0
30.9286,-92.7294,5.0
30.9289,-92.7639,10.0
30.9881,-92.7983,40.0
30.9881,-92.8153,5.0
30.9289,-92.7639,35.0
30.9881,-92.8153,5.0
31.0767,-92.7683,70.0
30.9289,-92.7983,0.1
31.0767,-92.7683,10.0
30.9436,-92.7983,2.0
30.9731,-92.7442,35.0
30.9731,-92.7442,50.0
30.9436,-92.7528,10.0
30.9881,-92.8153,3.0
30.9878,-92.7639,30.0
30.9878,-92.7639,1.0
30.9731,-92.7639,5.0
30.9286,-92.7528,3.0
30.9289,-92.7811,2.0
30.9583,-92.7983,2.0
30.9583,-92.7814,10.0
30.9583,-92.7814,5.0
30.9878,-92.7639,5.0
30.9731,-92.7811,20.0
30.9733,-92.7294,30.0
30.9881,-92.7294,10.0
30.9881,-92.7983,1.0
30.9436,-92.7811,200.0
31.0622,-92.8022,20.0
30.9733,-92.7981,3.0
30.9286,-92.7528,30.0
30.9733,-92.7981,2.0
31.0333,-92.8192,10.0
30.9881,-92.7983,3.0
30.9881,-92.7983,1.0
30.9583,-92.7294,25.0
30.9583,-92.7983,8.0
