fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
FLUME_2022-CASHF-000551,195,175,41.015102,-122.697048,24016.7,24.017,1
FOLLOWS_2022-CAANF-000345,1038,422,34.226106,-117.794506,7966.8,7.967,1
FORBESTOWN_2022-CABTU-005799,387,247,39.534381,-121.296178,1238.0,1.238,1
FORK_2022-CAANF-002742,1034,416,34.24992,-117.866833,4255.5,4.255,1
FORK_2022-CAKNF-007060,77,143,41.944464,-123.452903,36887.3,36.887,1
FORK_2022-CAMMU-009669,676,339,37.22925,-119.504131,855.2,0.855,1
FOSTER_2022-CAENF-025294,511,309,38.599853,-120.255822,21444.4,21.444,1
FOURNIER_2022-CATNF-000379,396,296,39.56773,-120.712416,6218.2,6.218,1
FOX_2022-CASHF-001180,176,248,41.355092,-121.906488,16736.0,16.736,1
FOX_2022-CATNF-000123,422,330,39.417705,-120.253979,19208.6,19.209,1
FRAZIER_2022-CALPF-001358,954,332,34.787506,-118.937324,3183.8,3.184,1
FREEL_2022-CATMU-021487,490,345,38.860028,-119.90412,43417.8,43.418,1
FREEMAN_2022-CASQF-002518,815,398,36.135496,-118.530443,28177.2,28.177,1
FREEWAY_2022-CAANF-000339,1001,379,34.468643,-118.331548,9181.2,9.181,1
FRIDAY__2022-CASHF-001034,198,220,41.098928,-122.165131,8427.5,8.427,1
FRISCO_2022-CAENF-028920,483,311,38.847131,-120.307028,23936.6,23.937,1
FROG_2022-CABDF-010538,1062,504,34.165486,-116.869915,5192.0,5.192,1
FROG_2022-CABDF-011327,1060,512,34.197388,-116.788161,3981.1,3.981,1
FROG_2022-CASTF-000927,521,329,38.556374,-120.004437,8746.3,8.746,1
FRONTIER_2022-CALPF-001048,945,319,34.839995,-119.096983,3979.0,3.979,1
